Time Step 0, time = 0.250 s, Nonlinear residual: 7.806e-02
Time Step 1, time = 0.500 s, Nonlinear residual: 5.550e-02
Time Step 2, time = 0.750 s, Nonlinear residual: 4.876e-02
Time Step 3, time = 1.000 s, Nonlinear residual: 3.827e-02
Time Step 4, time = 1.250 s, Nonlinear residual: 3.451e-02
Time Step 5, time = 1.500 s, Nonlinear residual: 2.697e-02
Time Step 6, time = 1.750 s, Nonlinear residual: 1.978e-02
Time Step 7, time = 2.000 s, Nonlinear residual: 1.603e-02
Time Step 8, time = 2.250 s, Nonlinear residual: 1.502e-02
Time Step 9, time = 2.500 s, Nonlinear residual: 1.052e-02
Time Step 10, time = 2.750 s, Nonlinear residual: 9.643e-03
Time Step 11, time = 3.000 s, Nonlinear residual: 8.191e-03
Time Step 12, time = 3.250 s, Nonlinear residual: 6.520e-03
Time Step 13, time = 3.500 s, Nonlinear residual: 5.933e-03
Time Step 14, time = 3.750 s, Nonlinear residual: 4.540e-03
Time Step 15, time = 4.000 s, Nonlinear residual: 4.131e-03
Time Step 16, time = 4.250 s, Nonlinear residual: 3.881e-03
Time Step 17, time = 4.500 s, Nonlinear residual: 3.393e-03
Time Step 18, time = 4.750 s, Nonlinear residual: 2.582e-03
Time Step 19, time = 5.000 s, Nonlinear residual: 2.373e-03
Time Step 20, time = 5.250 s, Nonlinear residual: 1.993e-03
Time Step 21, time = 5.500 s, Nonlinear residual: 1.818e-03
Time Step 22, time = 5.750 s, Nonlinear residual: 1.568e-03
Time Step 23, time = 6.000 s, Nonlinear residual: 1.286e-03
Time Step 24, time = 6.250 s, Nonlinear residual: 1.130e-03
Time Step 25, time = 6.500 s, Nonlinear residual: 8.389e-04
Time Step 26, time = 6.750 s, Nonlinear residual: 7.665e-04
Time Step 27, time = 7.000 s, Nonlinear residual: 7.198e-04
Time Step 28, time = 7.250 s, Nonlinear residual: 6.300e-04
Time Step 29, time = 7.500 s, Nonlinear residual: 4.856e-04
Time Step 30, time = 7.750 s, Nonlinear residual: 3.921e-04
Time Step 31, time = 8.000 s, Nonlinear residual: 3.431e-04
Time Step 32, time = 8.250 s, Nonlinear residual: 2.606e-04
Time Step 33, time = 8.500 s, Nonlinear residual: 2.004e-04
Time Step 34, time = 8.750 s, Nonlinear residual: 1.610e-04
Time Step 35, time = 9.000 s, Nonlinear residual: 1.243e-04
Time Step 36, time = 9.250 s, Nonlinear residual: 1.095e-04
Time Step 37, time = 9.500 s, Nonlinear residual: 9.889e-05
Time Step 38, time = 9.750 s, Nonlinear residual: 7.324e-05
Time Step 39, time = 10.000 s, Nonlinear residual: 6.548e-05
Time Step 40, time = 10.250 s, Nonlinear residual: 5.534e-05
Time Step 41, time = 10.500 s, Nonlinear residual: 4.919e-05
Time Step 42, time = 10.750 s, Nonlinear residual: 3.471e-05
Time Step 43, time = 11.000 s, Nonlinear residual: 2.967e-05
Time Step 44, time = 11.250 s, Nonlinear residual: 2.675e-05
Time Step 45, time = 11.500 s, Nonlinear residual: 2.482e-05
Time Step 46, time = 11.750 s, Nonlinear residual: 2.330e-05
Time Step 47, time = 12.000 s, Nonlinear residual: 1.982e-05
Time Step 48, time = 12.250 s, Nonlinear residual: 1.593e-05
Time Step 49, time = 12.500 s, Nonlinear residual: 1.453e-05
[PerfGraph] mock: total time 0.5 s
