Time Step 0, time = 0.250 s, Nonlinear residual: 7.545e-02
Time Step 1, time = 0.500 s, Nonlinear residual: 6.480e-02
Time Step 2, time = 0.750 s, Nonlinear residual: 6.113e-02
Time Step 3, time = 1.000 s, Nonlinear residual: 5.604e-02
Time Step 4, time = 1.250 s, Nonlinear residual: 4.935e-02
Time Step 5, time = 1.500 s, Nonlinear residual: 4.603e-02
Time Step 6, time = 1.750 s, Nonlinear residual: 3.253e-02
Time Step 7, time = 2.000 s, Nonlinear residual: 2.903e-02
Time Step 8, time = 2.250 s, Nonlinear residual: 2.434e-02
Time Step 9, time = 2.500 s, Nonlinear residual: 2.093e-02
Time Step 10, time = 2.750 s, Nonlinear residual: 1.983e-02
Time Step 11, time = 3.000 s, Nonlinear residual: 1.881e-02
Time Step 12, time = 3.250 s, Nonlinear residual: 1.697e-02
Time Step 13, time = 3.500 s, Nonlinear residual: 1.230e-02
Time Step 14, time = 3.750 s, Nonlinear residual: 1.155e-02
Time Step 15, time = 4.000 s, Nonlinear residual: 9.583e-03
Time Step 16, time = 4.250 s, Nonlinear residual: 9.005e-03
Time Step 17, time = 4.500 s, Nonlinear residual: 8.182e-03
Time Step 18, time = 4.750 s, Nonlinear residual: 6.837e-03
Time Step 19, time = 5.000 s, Nonlinear residual: 5.308e-03
Time Step 20, time = 5.250 s, Nonlinear residual: 4.400e-03
Time Step 21, time = 5.500 s, Nonlinear residual: 3.744e-03
Time Step 22, time = 5.750 s, Nonlinear residual: 3.198e-03
Time Step 23, time = 6.000 s, Nonlinear residual: 2.582e-03
Time Step 24, time = 6.250 s, Nonlinear residual: 1.816e-03
Time Step 25, time = 6.500 s, Nonlinear residual: 1.345e-03
Time Step 26, time = 6.750 s, Nonlinear residual: 1.084e-03
Time Step 27, time = 7.000 s, Nonlinear residual: 8.420e-04
Time Step 28, time = 7.250 s, Nonlinear residual: 7.417e-04
Time Step 29, time = 7.500 s, Nonlinear residual: 6.745e-04
Time Step 30, time = 7.750 s, Nonlinear residual: 5.350e-04
Time Step 31, time = 8.000 s, Nonlinear residual: 3.878e-04
Time Step 32, time = 8.250 s, Nonlinear residual: 3.613e-04
Time Step 33, time = 8.500 s, Nonlinear residual: 3.038e-04
Time Step 34, time = 8.750 s, Nonlinear residual: 2.193e-04
Time Step 35, time = 9.000 s, Nonlinear residual: 1.817e-04
Time Step 36, time = 9.250 s, Nonlinear residual: 1.693e-04
Time Step 37, time = 9.500 s, Nonlinear residual: 1.285e-04
Time Step 38, time = 9.750 s, Nonlinear residual: 9.998e-05
Time Step 39, time = 10.000 s, Nonlinear residual: 8.358e-05
Time Step 40, time = 10.250 s, Nonlinear residual: 6.360e-05
Time Step 41, time = 10.500 s, Nonlinear residual: 5.231e-05
Time Step 42, time = 10.750 s, Nonlinear residual: 3.790e-05
Time Step 43, time = 11.000 s, Nonlinear residual: 3.064e-05
Time Step 44, time = 11.250 s, Nonlinear residual: 2.451e-05
Time Step 45, time = 11.500 s, Nonlinear residual: 1.943e-05
Time Step 46, time = 11.750 s, Nonlinear residual: 1.828e-05
Time Step 47, time = 12.000 s, Nonlinear residual: 1.432e-05
Time Step 48, time = 12.250 s, Nonlinear residual: 1.168e-05
Time Step 49, time = 12.500 s, Nonlinear residual: 9.235e-06
[PerfGraph] mock: total time 0.5 s
